WDSTL05CD,WDSTL05NM
19UDGN,Longham
19UDGP,Parley
19UDGQ,St Leonards and St Ives East
19UDGR,St Leonards and St Ives West
19UDGS,Stapehill
19UDGT,Stour
19UDGU,Three Cross and Potterne
19UDGW,Verwood Dewlands
19UDGX,Verwood Newtown
19UDGY,Verwood Stephen's Castle
19UDGZ,West Moors
19UDHA,Wimborne Minster
19UEGE,Abbey
19UEGF,Blackmore
19UEGG,Blandford Damory Down
19UEGH,Blandford Hilltop
19UEGJ,Blandford Langton St Leonards
19UEGK,Blandford Old Town
19UEGL,Blandford Station
19UEGM,Bourton and District
19UEGN,Bulbarrow
19UEGP,Cranborne Chase
19UEGQ,Gillingham Town
19UEGR,Hill Forts
19UEGS,Lodbourne
19UEGT,Lydden Vale
19UEGU,Marnhull
19UEGW,Milton
19UEGX,Motcombe and Ham
19UEGY,Portman
19UEGZ,Riversdale
19UEHA,Shaftesbury Central
19UEHB,Shaftesbury Christy's
19UEHC,Shaftesbury Grosvenor
19UEHD,Shaftesbury Underhill
19UEHE,Stour Valley
19UEHF,The Beacon
19UEHG,The Lower Tarrants
19UEHH,The Stours
19UEHJ,Wyke
19UGFN,Bere Regis
19UGFP,Castle
19UGFQ,Creech Barrow
19UGFR,Langton
19UGFS,Lytchett Matravers
19UGFT,Lytchett Minster and Upton East
19UGFU,Lytchett Minster and Upton West
19UGFW,St. Martin
19UGFX,Swanage North
19UGFY,Swanage South
19UGFZ,Wareham
19UGGA,West Purbeck
19UGGB,Winfrith
19UGGC,Wool
19UHGR,Beaminster
19UHGS,Bradford Abbas
19UHGT,Bradpole
19UHGU,Bridport North
19UHGW,Bridport South and Bothenhampton
19UHGX,Broadmayne
19UHGY,Broadwindsor
19UHGZ,Burton Bradstock
19UHHA,Cam Vale
19UHHB,Charminster and Cerne Valley
19UHHC,Charmouth
19UHHD,Chesil Bank
19UHHE,Chickerell
19UHHF,Chideock and Symondsbury
19UHHG,Dorchester East
19UHHH,Dorchester North
19UHHJ,Dorchester South
19UHHK,Dorchester West
19UHHL,Frome Valley
19UHHM,Halstock
19UHHN,Loders
19UHHP,Lyme Regis
19UHHQ,Maiden Newton
19UHHR,Marshwood Vale
19UHHS,Netherbury
19UHHT,Owermoigne
19UHHU,Piddle Valley
19UHHW,Puddletown
19UHHX,Queen Thorne
19UHHY,Sherborne East
19UHHZ,Sherborne West
19UHJA,Winterborne St Martin
19UHJB,Yetminster
19UJFQ,Littlemoor
19UJFR,Melcombe Regis
19UJFS,Preston
19UJFT,Radipole
19UJFU,Tophill East
19UJFW,Tophill West
19UJFX,Underhill
19UJFY,Upwey and Broadwey
19UJFZ,Westham East
19UJGA,Westham North
19UJGB,Westham West
19UJGC,Wey Valley
19UJGD,Weymouth East
19UJGE,Weymouth West
19UJGF,Wyke Regis
20UBFT,Bournmoor
20UBFU,Chester Central
20UBFW,Chester East
20UBFX,Chester North
20UBFY,Chester South
20UBFZ,Chester West
20UBGA,Edmondsley and Waldridge
20UBGB,Grange Villa and West Pelton
20UBGC,Kimblesworth and Plawsworth
20UBGD,Lumley
20UBGE,North Lodge
20UBGF,Ouston
20UBGG,Pelton
20UBGH,Pelton Fell
20UBGJ,Sacriston
20UBGK,Urpeth
20UDGA,Annfield Plain
20UDGB,Benfieldside
20UDGC,Blackhill
20UDGD,Burnhope
20UDGE,Burnopfield
20UDGF,Castleside
20UDGG,Catchgate
20UDGH,Consett East
20UDGJ,Consett North
20UDGK,Consett South
20UDGL,Cornsay
20UDGM,Craghead and South Stanley
20UDGN,Delves Lane
20UDGP,Dipton
20UDGQ,Ebchester and Medomsley
20UDGR,Esh
20UDGS,Havannah
20UDGT,Lanchester
20UDGU,Leadgate
20UDGW,South Moor
20UDGX,Stanley Hall
20UDGY,Tanfield
20UEGB,Bearpark and Witton Gilbert
20UEGC,Belmont
20UEGD,"Brancepeth, Langley Moor and Meadowfield"
20UEGE,Brandon
20UEGF,Carrville and Gilesgate Moor
20UEGG,Cassop-cum-Quarrington
20UEGH,Coxhoe
20UEGJ,Crossgate and Framwelgate
20UEGK,Deerness
20UEGL,Elvet
20UEGM,Framwellgate Moor
20UEGN,Neville's Cross
20UEGP,New Brancepeth and Ushaw Moor
20UEGQ,Newton Hall North
20UEGR,Newton Hall South
20UEGS,Pelaw and Gilesgate
20UEGT,Pittington and West Rainton
20UEGU,St Nicholas
20UEGW,Shadforth and Sherburn
20UEGX,Shincliffe
20UFGD,Acre Rigg
20UFGE,Blackhalls
20UFGF,Dawdon
20UFGG,Dene House
20UFGH,Deneside
20UFGJ,Easington Colliery
20UFGK,Easington Village and South Hetton
20UFGL,Eden Hill
20UFGM,Haswell and Shotton
20UFGN,Horden North
20UFGP,Horden South
20UFGQ,Howletch
20UFGR,Hutton Henry
20UFGS,Murton East
20UFGT,Murton West
20UFGU,Passfield
20UFGW,Seaham Harbour
20UFGX,Seaham North
20UFGY,Thornley and Wheatley Hill
20UFGZ,Wingate
20UGFZ,Bishop Middleham and Cornforth
20UGGA,Broom
20UGGB,Byerley
20UGGC,Chilton
20UGGD,Ferryhill
20UGGE,Fishburn and Old Trimdon
20UGGF,Greenfield Middridge
20UGGG,Low Spennymoor and Tudhoe Grange
20UGGH,Middlestone
20UGGJ,Neville and Simpasture
20UGGK,New Trimdon and Trimdon Grange
20UGGL,Sedgefield
20UGGM,Shafto St Marys
20UGGN,Spennymoor
20UGGP,Sunnydale
20UGGQ,Thickley
20UGGR,Tudhoe
20UGGS,West
20UGGT,Woodham
20UHFW,Barnard Castle East
20UHFX,Barnard Castle North
20UHFY,Barnard Castle West
20UHFZ,Barningham and Ovington
20UHGA,Cockfield
20UHGB,Cotherstone with Lartington
20UHGC,Eggleston
20UHGD,Etherley
20UHGE,"Evenwood, Ramshaw and Lands"
20UHGF,Gainford and Winston
20UHGG,Greta
20UHGH,Hamsterley and South Bedburn
20UHGJ,Ingleton
20UHGK,Lynesack
20UHGL,Middleton-in-Teesdale
20UHGM,Romaldkirk
20UHGN,Staindrop
20UHGP,Startforth
20UHGQ,Streatlam and Whorlton
20UJFY,Bishop Auckland Town
20UJFZ,Cockton Hill
20UJGA,Coundon
20UJGB,Crook North
20UJGC,Crook South
20UJGD,Dene Valley
20UJGE,Escomb
20UJGF,Henknowle
20UJGG,Howden
20UJGH,Hunwick
20UJGJ,St John's Chapel
20UJGK,Stanhope
20UJGL,Tow Law and Stanley
20UJGM,West Auckland
20UJGN,Wheatbottom and Helmington Row
20UJGP,Willington Central
20UJGQ,Willington West End
20UJGR,Wolsingham and Witton-le-Wear
20UJGS,Woodhouse Close
21UCFL,Devonshire
21UCFM,Hampden Park
21UCFN,Langney
21UCFP,Meads
21UCFQ,Old Town
21UCFR,Ratton
21UCFS,St Anthony's
21UCFT,Sovereign
21UCFU,Upperton
21UDFS,Ashdown
21UDFT,Baird
21UDFU,Braybrooke
21UDFW,Castle
21UDFX,Central St Leonards
21UDFY,Conquest
21UDFZ,Gensing
21UDGA,Hollington
21UDGB,Maze Hill
21UDGC,Old Hastings
21UDGD,Ore
21UDGE,St Helens
21UDGF,Silverhill
21UDGG,Tressell
21UDGH,West St Leonards
21UDGJ,Wishing Tree
21UFGG,Barcombe and Hamsey
21UFGH,Chailey and Wivelsfield
21UFGJ,Ditchling and Westmeston
21UFGK,East Saltdean and Telscombe Cliffs
21UFGL,Kingston
21UFGM,Lewes Bridge
21UFGN,Lewes Castle
21UFGP,Lewes Priory
21UFGQ,Newhaven Denton and Meeching
21UFGR,Newhaven Valley
21UFGS,Newick
21UFGT,Ouse Valley and Ringmer
21UFGU,Peacehaven East
21UFGW,Peacehaven North
21UFGX,Peacehaven West
21UFGY,"Plumpton, Streat, East Chiltington and St John (Without)"
21UFGZ,Seaford Central
21UFHA,Seaford East
21UFHB,Seaford North
21UFHC,Seaford South
21UFHD,Seaford West
21UGGD,Battle Town
21UGGE,Brede Valley
21UGGF,Central
21UGGG,Collington
21UGGH,Crowhurst
21UGGJ,Darwell
21UGGK,Eastern Rother
21UGGL,Ewhurst and Sedlescombe
21UGGM,Kewhurst
21UGGN,Marsham
21UGGP,Old Town
21UGGQ,Rother Levels
21UGGR,Rye
21UGGS,Sackville
21UGGT,St Marks
21UGGU,St Michaels
21UGGW,St Stephens
21UGGX,Salehurst
21UGGY,Sidley
21UGGZ,Ticehurst and Etchingham
21UHGM,Alfriston
21UHGN,Buxted and Maresfield
21UHGP,Chiddingly and East Hoathly
21UHGQ,Cross in Hand/Five Ashes
21UHGR,Crowborough East
21UHGS,Crowborough Jarvis Brook
21UHGT,Crowborough North
21UHGU,Crowborough St. Johns
21UHGW,Crowborough West
21UHGX,Danehill/Fletching/Nutley
21UHGY,East Dean
21UHGZ,Forest Row
21UHHA,Framfield
21UHHB,Frant/Withyham
21UHHC,Hailsham Central and North
21UHHD,Hailsham East
21UHHE,Hailsham South and West
21UHHF,Hartfield
21UHHG,Heathfield East
21UHHH,Heathfield North and Central
21UHHJ,Hellingly
21UHHK,Herstmonceux
21UHHL,Horam
21UHHM,Mayfield
21UHHN,Ninfield and Hooe with Wartling
21UHHP,Pevensey and Westham
21UHHQ,Polegate North
21UHHR,Polegate South
21UHHS,Rotherfield
21UHHT,Uckfield Central
21UHHU,Uckfield New Town
21UHHW,Uckfield North
21UHHX,Uckfield Ridgewood
21UHHY,Wadhurst
21UHHZ,Willingdon
22UBFQ,Billericay East
22UBFR,Billericay West
22UBFS,Burstead
22UBFT,Crouch
22UBFU,Fryerns
22UBFW,Laindon Park
22UBFX,Langdon Hills
22UBFY,Lee Chapel North
22UBFZ,Nethermayne
22UBGA,Pitsea North West
22UBGB,Pitsea South East
22UBGC,St Martin's
22UBGD,Vange
22UBGE,Wickford Castledon
22UBGF,Wickford North
22UBGG,Wickford Park
22UCGL,Black Notley and Terling
22UCGM,Bocking Blackwater
22UCGN,Bocking North
22UCGP,Bocking South
22UCGQ,"Bradwell, Silver End and Rivenhall"
22UCGR,Braintree Central
22UCGS,Braintree East
22UCGT,Braintree South
22UCGU,Bumpstead
22UCGW,Coggeshall and North Feering
22UCGX,Cressing and Stisted
22UCGY,Gosfield and Greenstead Green
22UCGZ,Great Notley and Braintree West
22UCHA,Halstead St Andrew's
22UCHB,Halstead Trinity
22UCHC,Hatfield Peverel
22UCHD,Hedingham and Maplestead
22UCHE,Kelvedon
22UCHF,Panfield
22UCHG,Rayne
22UCHH,Stour Valley North
22UCHJ,Stour Valley South
22UCHK,The Three Colnes
22UCHL,Three Fields
22UCHM,Upper Colne
22UCHN,Witham Chipping Hill and Central
22UCHP,Witham North
22UCHQ,Witham South
22UCHR,Witham West
22UCHS,Yeldham
22UDFT,Brentwood North
22UDFU,Brentwood South
22UDFW,Brentwood West
22UDFX,Brizes and Doddinghurst
22UDFY,"Herongate, Ingrave and West Horndon"
22UDFZ,Hutton Central
22UDGA,Hutton East
22UDGB,Hutton North
22UDGC,Hutton South
22UDGD,"Ingatestone, Fryerning and Mountnessing"
22UDGE,Pilgrims Hatch
22UDGF,Shenfield
22UDGG,South Weald
22UDGH,Tipps Cross
22UDGJ,Warley
22UEFQ,Appleton
22UEFR,Boyce
22UEFS,Canvey Island Central
22UEFT,Canvey Island East
22UEFU,Canvey Island North
22UEFW,Canvey Island South
22UEFX,Canvey Island West
22UEFY,Canvey Island Winter Gardens
22UEFZ,Cedar Hall
22UEGA,St George's
22UEGB,St James
22UEGC,St Mary's
22UEGD,St Peter's
22UEGE,Victoria
22UFGE,Bicknacre and East and West Hanningfield
22UFGF,Boreham and The Leighs
22UFGG,Broomfield and The Walthams
22UFGH,Chelmer Village and Beaulieu Park
22UFGJ,Chelmsford Rural West
22UFGK,Galleywood
22UFGL,Goat Hall
22UFGM,Great Baddow East
22UFGN,Great Baddow West
22UFGP,"Little Baddow, Danbury and Sandon"
22UFGQ,Marconi
22UFGR,Moulsham and Central
22UFGS,Moulsham Lodge
22UFGT,Patching Hall
22UFGU,Rettendon and Runwell
22UFGW,St Andrews
22UFGX,"South Hanningfield, Stock and Margaretting"
22UFGY,South Woodham-Chetwood and Collingwood
22UFGZ,South Woodham-Elmwood and Woodville
22UFHA,Springfield North
22UFHB,The Lawns
22UFHC,Trinity
22UFHD,Waterhouse Farm
22UFHE,Writtle
22UGGE,Berechurch
22UGGF,Birch and Winstree
22UGGG,Castle
22UGGH,Christ Church
22UGGJ,Copford and West Stanway
22UGGK,Dedham and Langham
22UGGL,East Donyland
22UGGM,Fordham and Stour
22UGGN,Great Tey
22UGGP,Harbour
22UGGQ,Highwoods
22UGGR,Lexden
22UGGS,Marks Tey
22UGGT,Mile End
22UGGU,New Town
22UGGW,Prettygate
22UGGX,Pyefleet
22UGGY,St Andrew's
22UGGZ,St Anne's
22UGHA,St John's
22UGHB,Shrub End
22UGHC,Stanway
22UGHD,Tiptree
22UGHE,West Bergholt and Eight Ash Green
22UGHF,West Mersea
22UGHG,Wivenhoe Cross
22UGHH,Wivenhoe Quay
22UHGH,"Broadley Common, Epping Upland and Nazeing"
22UHGJ,Buckhurst Hill East
22UHGK,Buckhurst Hill West
22UHGL,Chigwell Row
22UHGM,Chigwell Village
22UHGN,"Chipping Ongar, Greensted and Marden Ash"
22UHGP,Epping Hemnall
22UHGQ,Epping Lindsey and Thornwood Common
22UHGR,Grange Hill
22UHGS,"Hastingwood, Matching and Sheering Village"
22UHGT,"High Ongar, Willingale and The Rodings"
22UHGU,Lambourne
22UHGW,Loughton Alderton
22UHGX,Loughton Broadway
22UHGY,Loughton Fairmead
22UHGZ,Loughton Forest
22UHHA,Loughton Roding
22UHHB,Loughton St John's
22UHHC,Loughton St Mary's
22UHHD,Lower Nazeing
22UHHE,Lower Sheering
22UHHF,Moreton and Fyfield
22UHHG,North Weald Bassett
22UHHH,Passingford
22UHHJ,Roydon
22UHHK,Shelley
22UHHL,Theydon Bois
22UHHM,Waltham Abbey High Beach
22UHHN,Waltham Abbey Honey Lane
22UHHP,Waltham Abbey North East
22UHHQ,Waltham Abbey Paternoster
22UHHR,Waltham Abbey South West
22UJFS,Bush Fair
22UJFT,Church Langley
22UJFU,Great Parndon
22UJFW,Harlow Common
22UJFX,Little Parndon and Hare Street
22UJFY,Mark Hall
22UJFZ,Netteswell
22UJGA,Old Harlow
22UJGB,Staple Tye
22UJGC,Sumners and Kingsmoor
22UJGD,Toddbrook
22UKFX,Althorne
22UKFY,Burnham-on-Crouch North
22UKFZ,Burnham-on-Crouch South
22UKGA,Great Totham
22UKGB,Heybridge East
22UKGC,Heybridge West
22UKGD,Maldon East
22UKGE,Maldon North
22UKGF,Maldon South
22UKGG,Maldon West
22UKGH,Mayland
22UKGJ,Purleigh
22UKGK,Southminster
22UKGL,Tillingham
22UKGM,Tollesbury
22UKGN,Tolleshunt D'Arcy
22UKGP,Wickham Bishops and Woodham
22ULGA,Ashingdon and Canewdon
22ULGB,Barling and Sutton
22ULGC,Downhall and Rawreth
22ULGD,Foulness and Great Wakering
22ULGE,Grange
22ULGF,Hawkwell North
22ULGG,Hawkwell South
22ULGH,Hawkwell West
22ULGJ,Hockley Central
22ULGK,Hockley North
22ULGL,Hockley West
22ULGM,Hullbridge
22ULGN,Lodge
22ULGP,Rayleigh Central
22ULGQ,Rochford
22ULGR,Sweyne Park
22ULGS,Trinity
22ULGT,Wheatley
22ULGU,Whitehouse
22UNGK,Alresford
22UNGL,Alton Park
22UNGM,Ardleigh and Little Bromley
22UNGN,Beaumont and Thorpe
22UNGP,Bockings Elm
22UNGQ,"Bradfield, Wrabness and Wix"
22UNGR,Brightlingsea
22UNGS,Burrsville
22UNGT,Frinton
22UNGU,Golf Green
22UNGW,Great and Little Oakley
22UNGX,Great Bentley
22UNGY,Hamford
22UNGZ,Harwich East
22UNHA,Harwich East Central
22UNHB,Harwich West
22UNHC,Harwich West Central
22UNHD,Haven
22UNHE,Holland and Kirby
22UNHF,Homelands
22UNHG,Lawford
22UNHH,Little Clacton and Weeley
22UNHJ,"Manningtree, Mistley, Little Bentley and Tendring"
22UNHK,Peter Bruff
22UNHL,Pier
22UNHM,Ramsey and Parkeston
22UNHN,Rush Green
22UNHP,St Bartholomews
22UNHQ,St James
22UNHR,St Johns
22UNHS,St Marys
22UNHT,St Osyth and Point Clear
22UNHU,St Pauls
22UNHW,"Thorrington, Frating, Elmstead and Great Bromley"
22UNHX,Walton
22UQGJ,Ashdon
22UQGK,Barnston and High Easter
22UQGL,Birchanger
22UQGM,Broad Oak and the Hallingburys
22UQGN,Clavering
22UQGP,Elsenham and Henham
22UQGQ,Felsted
22UQGR,Great Dunmow North
22UQGS,Great Dunmow South
22UQGT,Hatfield Heath
22UQGU,Littlebury
22UQGW,Newport
22UQGX,Saffron Walden Audley
22UQGY,Saffron Walden Castle
22UQGZ,Saffron Walden Shire
22UQHA,Stansted North
22UQHB,Stansted South
22UQHC,Stebbing
22UQHD,Stort Valley
22UQHE,Takeley and the Canfields
22UQHF,Thaxted
22UQHG,The Chesterfords
22UQHH,The Eastons
22UQHJ,The Rodings
22UQHK,The Sampfords
22UQHL,Wenden Lofts
22UQHM,Wimbish and Debden
23UBFQ,All Saints
23UBFR,Battledown
23UBFS,Benhall and The Reddings
23UBFT,Charlton Kings
23UBFU,Charlton Park
23UBFW,College
23UBFX,Hesters Way
23UBFY,Lansdown
23UBFZ,Leckhampton
23UBGA,Oakley
23UBGB,Park
23UBGC,Pittville
23UBGD,Prestbury
23UBGE,St Mark's
23UBGF,St Paul's
23UBGG,St Peter's
23UBGH,Springbank
23UBGJ,Swindon Village
23UBGK,Up Hatherley
23UBGL,Warden Hill
23UCGL,Ampney-Coln
23UCGM,Avening
23UCGN,Beacon-Stow
23UCGP,Blockley
23UCGQ,Bourton-on-the-Water
23UCGR,Campden-Vale
23UCGS,Chedworth
23UCGT,Churn Valley
23UCGU,Cirencester Beeches
23UCGW,Cirencester Chesterton
23UCGX,Cirencester Park
23UCGY,Cirencester Stratton-Whiteway
23UCGZ,Cirencester Watermoor
23UCHA,Ermin
23UCHB,Fairford
23UCHC,Fosseridge
23UCHD,Grumbolds Ash
23UCHE,Hampton
23UCHF,Kempsford-Lechlade
23UCHG,Moreton-in-Marsh
23UCHH,Northleach
23UCHJ,Rissingtons
23UCHK,Riversmeet
23UCHL,Sandywell
23UCHM,Tetbury
23UCHN,Thames Head
23UCHP,Three Rivers
23UCHQ,Water Park
23UDGF,"Alvington, Aylburton and West Lydney"
23UDGG,Awre
23UDGH,Berry Hill
23UDGJ,Blaisdon and Longhope
23UDGK,Bream
23UDGL,Bromesberrow and Dymock
23UDGM,Christchurch and English Bicknor
23UDGN,Churcham and Huntley
23UDGP,Cinderford East
23UDGQ,Cinderford West
23UDGR,Coleford Central
23UDGS,Coleford East
23UDGT,Hartpury
23UDGU,Hewelsfield and Woolaston
23UDGW,Littledean and Ruspidge
23UDGX,Lydbrook and Ruardean
23UDGY,Lydney East
23UDGZ,Lydney North
23UDHA,Mitcheldean and Drybrook
23UDHB,Newent Central
23UDHC,Newland and St Briavels
23UDHD,Newnham and Westbury
23UDHE,Oxenhall and Newent North East
23UDHF,Pillowell
23UDHG,Redmarley
23UDHH,Tibberton
23UDHJ,Tidenham
23UEFR,Abbey
23UEFS,Barnwood
23UEFT,Barton and Tredworth
23UEFU,Elmbridge
23UEFW,Grange
23UEFX,Hucclecote
23UEFY,Kingsholm and Wotton
23UEFZ,Longlevens
23UEGA,Matson and Robinswood
23UEGB,Moreland
23UEGC,Podsmead
23UEGD,Quedgeley Fieldcourt
23UEGE,Quedgeley Severn Vale
23UEGF,Tuffley
23UEGG,Westgate
23UFGJ,Amberley and Woodchester
23UFGK,Berkeley
23UFGL,Bisley
23UFGM,Cainscross
23UFGN,Cam East
23UFGP,Cam West
23UFGQ,Central
23UFGR,Chalford
23UFGS,Coaley and Uley
23UFGT,Dursley
23UFGU,Eastington and Standish
23UFGW,Farmhill and Paganhill
23UFGX,Hardwicke
23UFGY,Kingswood
23UFGZ,Minchinhampton
23UFHA,Nailsworth
23UFHB,Over Stroud
23UFHC,Painswick
23UFHD,Rodborough
23UFHE,Severn
23UFHF,Slade
23UFHG,Stonehouse
23UFHH,The Stanleys
23UFHJ,Thrupp
23UFHK,Trinity
23UFHL,Uplands
23UFHM,Upton St Leonards
23UFHN,Vale
23UFHP,Valley
23UFHQ,Wotton-under-Edge
23UGGE,Ashchurch with Walton Cardiff
23UGGF,Badgeworth
23UGGG,Brockworth
23UGGH,Churchdown Brookfield
23UGGJ,Churchdown St John's
23UGGK,Cleeve Grange
23UGGL,Cleeve Hill
23UGGM,Cleeve St Michael's
23UGGN,Cleeve West
23UGGP,Coombe Hill
23UGGQ,Highnam with Haw Bridge
23UGGR,Hucclecote
23UGGS,Innsworth with Down Hatherley
23UGGT,Isbourne
23UGGU,Northway
23UGGW,Oxenton Hill
23UGGX,Shurdington
23UGGY,Tewkesbury Newtown
23UGGZ,Tewkesbury Prior's Park
23UGHA,Tewkesbury Town with Mitton
23UGHB,Twyning
23UGHC,Winchcombe
24UBHP,Basing
24UBHQ,Baughurst
24UBHR,Brighton Hill North
24UBHS,Brighton Hill South
24UBHT,Brookvale and Kings Furlong
24UBHU,Buckskin
24UBHW,Burghclere
24UBHX,Calleva
24UBHY,Chineham
24UBHZ,East Woodhay
24UBJA,Eastrop
24UBJB,Grove
24UBJC,Hatch Warren and Beggarwood
24UBJD,Highclere and Bourne
24UBJE,Kempshott
24UBJF,Kingsclere
24UBJG,Norden
24UBJH,Oakley and North Waltham
24UBJJ,"Overton, Laverstoke and Steventon"
24UBJK,Pamber
24UBJL,Popley East
24UBJM,Popley West
24UBJN,Rooksdown
24UBJP,Sherborne St John
24UBJQ,South Ham
24UBJR,Tadley North
24UBJS,Tadley South
24UBJT,Upton Grey and The Candovers
24UBJU,Whitchurch
24UBJW,Winklebury
24UCGJ,Alton Amery
24UCGK,Alton Ashdell
24UCGL,Alton Eastbrooke
24UCGM,Alton Westbrooke
24UCGN,Alton Whitedown
24UCGP,Alton Wooteys
24UCGQ,Binsted and Bentley
24UCGR,Bramshott and Liphook
24UCGS,Clanfield and Finchdean
24UCGT,Downland
24UCGU,East Meon
24UCGW,Four Marks and Medstead
24UCGX,Froxfield and Steep
24UCGY,Grayshott
24UCGZ,Headley
24UCHA,Holybourne and Froyle
24UCHB,Horndean Catherington and Lovedean
24UCHC,Horndean Downs
24UCHD,Horndean Hazleton and Blendworth
24UCHE,Horndean Kings
24UCHF,Horndean Murray
24UCHG,Lindford
24UCHH,Liss
24UCHJ,Petersfield Bell Hill
24UCHK,Petersfield Causeway
24UCHL,Petersfield Heath
24UCHM,Petersfield Rother
24UCHN,Petersfield St Marys
24UCHP,Petersfield St Peters
24UCHQ,Ropley and Tisted
24UCHR,Rowlands Castle
24UCHS,Selborne
24UCHT,The Hangers and Forest
24UCHU,Whitehill Chase
24UCHW,Whitehill Deadwater
24UCHX,Whitehill Hogmoor
24UCHY,Whitehill Pinewood
24UCHZ,Whitehill Walldown
24UDFT,Bishopstoke East
24UDFU,Bishopstoke West
24UDFW,Botley
24UDFX,Bursledon and Old Netley
24UDFY,Chandler's Ford East
24UDFZ,Chandler's Ford West
24UDGA,Eastleigh Central
24UDGB,Eastleigh North
24UDGC,Eastleigh South
24UDGD,Fair Oak and Horton Heath
24UDGE,Hamble-le-Rice and Butlocks Heath
24UDGF,Hedge End Grange Park
24UDGG,Hedge End St John's
24UDGH,Hedge End Wildern
24UDGJ,Hiltingbury East
24UDGK,Hiltingbury West
24UDGL,Netley Abbey
24UDGM,West End North
24UDGN,West End South
24UEFQ,Fareham East
24UEFR,Fareham North
24UEFS,Fareham North-West
24UEFT,Fareham South
24UEFU,Fareham West
24UEFW,Hill Head
24UEFX,Locks Heath
24UEFY,Park Gate
24UEFZ,Portchester East
24UEGA,Portchester West
24UEGB,Sarisbury
24UEGC,Stubbington
24UEGD,Titchfield
24UEGE,Titchfield Common
24UEGF,Warsash
24UFFL,Alverstoke
24UFFM,Anglesey
24UFFN,Bridgemary North
24UFFP,Bridgemary South
24UFFQ,Brockhurst
24UFFR,Christchurch
24UFFS,Elson
24UFFT,Forton
24UFFU,Grange
24UFFW,Hardway
24UFFX,Lee East
24UFFY,Lee West
24UFFZ,Leesland
24UFGA,Peel Common
24UFGB,Privett
24UFGC,Rowner and Holbrook
24UFGD,Town
24UGFS,Blackwater and Hawley
24UGFT,Church Crookham East
24UGFU,Church Crookham West
24UGFW,Crondall
24UGFX,Eversley
24UGFY,Fleet Central
24UGFZ,Fleet Courtmoor
24UGGA,Fleet North
24UGGB,Fleet Pondtail
24UGGC,Fleet West
24UGGD,Frogmore and Darby Green
24UGGE,Hartley Wintney
24UGGF,Hook
24UGGG,Long Sutton
24UGGH,Odiham
24UGGJ,Yateley East
24UGGK,Yateley North
24UGGL,Yateley West
24UHFQ,Barncroft
24UHFR,Battins
24UHFS,Bedhampton
24UHFT,Bondfields
24UHFU,Cowplain
24UHFW,Emsworth
24UHFX,Hart Plain
24UHFY,Hayling East
24UHFZ,Hayling West
24UHGA,Purbrook
24UHGB,St Faith's
24UHGC,Stakes
24UHGD,Warren Park
24UHGE,Waterloo
24UJGL,"Ashurst, Copythorne South and Netley Marsh"
24UJGM,Barton
24UJGN,Bashley
24UJGP,Becton
24UJGQ,Boldre and Sway
24UJGR,"Bramshaw, Copythorne North and Minstead"
24UJGS,Bransgore and Burley
24UJGT,Brockenhurst and Forest South East
24UJGU,Buckland
24UJGW,Butts Ash and Dibden Purlieu
24UJGX,Dibden and Hythe East
24UJGY,Downlands and Forest
24UJGZ,"Fawley, Blackfield and Langley"
24UJHA,Fernhill
24UJHB,Fordingbridge
24UJHC,Forest North West
24UJHD,Furzedown and Hardley
24UJHE,Holbury and North Blackfield
24UJHF,Hordle
24UJHG,Hythe West and Langdown
24UJHH,Lymington Town
24UJHJ,Lyndhurst
24UJHK,Marchwood
24UJHL,Milford
24UJHM,Milton
24UJHN,Pennington
24UJHP,Ringwood East and Sopley
24UJHQ,Ringwood North
24UJHR,Ringwood South
24UJHS,Totton Central
24UJHT,Totton East
24UJHU,Totton North
24UJHW,Totton South
24UJHX,Totton West
24ULFR,Cove and Southwood
24ULFS,Empress
24ULFT,Fernhill
24ULFU,Grange
24ULFW,Heron Wood
24ULFX,Knellwood
24ULFY,Manor Park
24ULFZ,Mayfield
24ULGA,North Town
24ULGB,Rowhill
24ULGC,St. John's
24ULGD,St. Mark's
24ULGE,Wellington
24ULGF,Westheath
24UNGA,Abbey
24UNGB,Alamein
24UNGC,Ampfield and Braishfield
24UNGD,Amport
24UNGE,Anna
24UNGF,Blackwater
24UNGG,Bourne Valley
24UNGH,Broughton and Stockbridge
24UNGJ,Charlton
24UNGK,"Chilworth, Nursling and Rownhams"
24UNGL,Cupernham
24UNGM,Dun Valley
24UNGN,Harewood
24UNGP,Harroway
24UNGQ,Kings Somborne and Michelmersh
24UNGR,Millway
24UNGS,North Baddesley
24UNGT,Over Wallop
24UNGU,Penton Bellinger
24UNGW,Romsey Extra
24UNGX,St Mary's
24UNGY,Tadburn
24UNGZ,Valley Park
24UNHA,Winton
24UPGK,Bishops Waltham
24UPGL,Boarhunt and Southwick
24UPGM,Cheriton and Bishops Sutton
24UPGN,Colden Common and Twyford
24UPGP,Compton and Otterbourne
24UPGQ,Denmead
24UPGR,"Droxford, Soberton and Hambledon"
24UPGS,Itchen Valley
24UPGT,Kings Worthy
24UPGU,Littleton and Harestock
24UPGW,Olivers Battery and Badger Farm
24UPGX,Owslebury and Curdridge
24UPGY,St Barnabas
24UPGZ,St Bartholomew
24UPHA,St John and All Saints
24UPHB,St Luke
24UPHC,St Michael
24UPHD,St Paul
24UPHE,Shedfield
24UPHF,Sparsholt
24UPHG,Swanmore and Newtown
24UPHH,The Alresfords
